Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
01-08-2006,3 - 1,Island,Aigir Stadion,Internordisk turnering,Herrer,U17-landshold,75,2006-08-01
01-08-2007,0 - 1,Tyrkiet,Riada Stadium,NI Milk Cup,Herrer,U20-landshold,366,2007-08-01
01-08-2017,1 - 0,Sverige,Þorlákshafnarvöllur,Internordisk turnering,Herrer,U17-landshold,124,2017-08-01
01-08-2023,2 - 0,Haiti,Perth Rectangular Stadium,VM-slutrunde,Kvinder,A-Landshold,17897,2023-08-01
01-09-1946,5 - 2,Finland,Olympiastadion,Testkamp,Herrer,A-Landshold,22000,1946-09-01
01-09-1960,3 - 1,Tunesien,Stadio Municipal,OL-slutrunde,Herrer,A-Landshold,2000,1960-09-01
01-09-1970,2 - 2,Polen,Næstved Stadion,Testkamp,Herrer,U21-landshold,3400,1970-09-01
01-09-1976,1 - 1,Frankrig,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,23100,1976-09-01
01-09-1982,0 - 1,Rumænien,Stadionul 23. August,Testkamp,Herrer,A-Landshold,50000,1982-09-01
01-09-1989,0 - 1,Østrig,NA,International turnering,Herrer,U17-landshold,0,1989-09-01
01-09-1992,3 - 3,Sverige,Sydbank Park,Testkamp,Herrer,U17-landshold,0,1992-09-01
01-09-1993,2 - 2,Sverige,NA,Testkamp,Herrer,U17-landshold,0,1993-09-01
01-09-1994,5 - 1,Sverige,NA,Testkamp,Herrer,U19-landshold,1300,1994-09-01
01-09-1996,2 - 0,Slovenien,Stadion Centralni,VM-kvalifikationskamp,Herrer,A-Landshold,6000,1996-09-01
01-09-1999,0 - 4,Sverige,NA,Testkamp,Kvinder,U19-landshold,0,1999-09-01
01-09-1999,1 - 2,Polen,NA,Syrenka Cup,Herrer,U17-landshold,0,1999-09-01
01-09-2000,0 - 0,Island,NA,EM-kvalifikationskamp,Herrer,U21-landshold,771,2000-09-01
01-09-2001,1 - 1,Nordirland,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,41569,2001-09-01
01-09-2004,2 - 1,Slovakiet,NA,Syrenka Cup,Herrer,U17-landshold,0,2004-09-01
01-09-2005,2 - 0,Schweiz,Grenå Stadion,Testkamp,Kvinder,U19-landshold,80,2005-09-01
01-09-2005,6 - 1,Ungarn,Dunajec,Syrenka Cup,Herrer,U17-landshold,0,2005-09-01
01-09-2006,4 - 2,Portugal,Brøndby Stadion,Testkamp,Herrer,A-Landshold,13186,2006-09-01
01-09-2009,2 - 2,Ukraine,Mosir Stadium,Syrenka Cup,Herrer,U17-landshold,152,2009-09-01
01-09-2011,1 - 1,FC Midtjylland,MCH Arena,Uofficiel landskamp,Herrer,U21-landshold,376,2011-09-01
01-09-2011,1 - 1,Sverige,Birkerød Stadion,Testkamp,Herrer,U19-landshold,627,2011-09-01
01-09-2016,0 - 0,Holland,Sportpark Walburgen,Testkamp,Herrer,U18-landshold,209,2016-09-01
01-09-2017,1 - 2,Holland,Idrætscenter Nyborg,Testkamp,Herrer,U18-landshold,706,2017-09-01
01-09-2017,4 - 0,Polen,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,34505,2017-09-01
01-09-2021,2 - 0,Skotland,Parken,VM-kvalifikationskamp,Herrer,A-Landshold,34562,2021-09-01
01-09-2021,3 - 1,Finland,Eerikkilä Arena,Testkamp,Kvinder,U17-landshold,30,2021-09-01
01-09-2022,5 - 1,Montenegro,Viborg Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,3398,2022-09-01
01-10-1922,1 - 2,Sverige,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,25000,1922-10-01
01-10-1939,1 - 4,Sverige,Råsunda,NM,Herrer,A-Landshold,22698,1939-10-01
01-10-1955,2 - 9,England,Home Park,Testkamp,Herrer,U19-landshold,16000,1955-10-01
01-10-1960,3 - 1,Norge,Nykøbing F. Idrætspark,Testkamp,Herrer,U19-landshold,0,1960-10-01
01-10-1985,6 - 4,Østrig,Frederikshavn Stadion,Testkamp,Herrer,U19-landshold,1700,1985-10-01
01-10-1991,1 - 1,England,NA,Testkamp,Herrer,U17-landshold,150,1991-10-01
01-10-1998,1 - 2,Tyskland,Herlev Stadion,Testkamp,Herrer,U16-landshold,248,1998-10-01
