Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
15-11-2013,2 - 1,Norge,MCH Arena,Testkamp,Herrer,A-Landshold,6084,2013-11-15
15-11-2013,3 - 2,Bulgarien,Beroe Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,0,2013-11-15
15-11-2015,0 - 0,Israel,Victor Tadesco,EM-kvalifikationskamp,Herrer,U19-landshold,50,2015-11-15
15-11-2016,1 - 1,Tjekkiet,Mestsky Stadium,Testkamp,Herrer,A-Landshold,1765,2016-11-15
15-11-2016,1 - 2,Portugal,Beroe Stadium,EM-kvalifikationskamp,Herrer,U19-landshold,101,2016-11-15
15-11-2019,3 - 1,England,The Impact Arena,International turnering,Herrer,U17-landshold,456,2019-11-15
15-11-2019,3 - 2,Ukraine,Arena Lviv,EM-kvalifikationskamp,Herrer,U21-landshold,17321,2019-11-15
15-11-2019,6 - 0,Gibraltar,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,24033,2019-11-15
15-11-2020,2 - 1,Island,Parken,UEFA Nations League,Herrer,A-Landshold,141,2020-11-15
15-11-2021,0 - 2,Skotland,Hampden Park,VM-kvalifikationskamp,Herrer,A-Landshold,49527,2021-11-15
15-11-2021,2 - 1,Tyskland,NA,Testkamp,Herrer,U18-landshold,327,2021-11-15
15-11-2021,4 - 1,Estland,NA,Testkamp,Herrer,Futsallandsholdet,0,2021-11-15
15-11-2022,0 - 2,Holland,MAC3PARK Stadium,Testkamp,Kvinder,A-Landshold,4534,2022-11-15
15-11-2022,4 - 1,Portugal,NA,International turnering,Herrer,U18-landshold,53,2022-11-15
15-11-2023,1 - 1,Island,Stade Marcel Garcin,EM-kvalifikationskamp,Herrer,U19-landshold,200,2023-11-15
15-12-2011,1 - 0,Brasilien,Estádio Municipal Paulo Machado de Carvalho (Pacaembu),Int. tour. City of São Paulo,Kvinder,A-Landshold,3632,2011-12-15
15-12-2021,1 - 5,Norge,NA,Nordic Futsal Cup,Herrer,Futsallandsholdet,136,2021-12-15
16-01-1995,0 - 0,Japan,NA,International turnering,Herrer,U21-landshold,3500,1995-01-16
16-01-2018,1 - 0,Cypern,Ayia Napa Municipality Training Centre,Testkamp,Herrer,U19-landshold,61,2018-01-16
16-01-2018,3 - 2,Cypern,Ayia Napa Municipality Training Centre,Testkamp,Herrer,U17-landshold,57,2018-01-16
16-01-2018,3 - 3,Cypern,Ayia Napa Municipality Training Centre,Testkamp,Herrer,U16-landshold,57,2018-01-16
16-01-2019,1 - 0,Mexico,Centro de Alto Rendimiento,Testkamp,Herrer,U21-landshold,0,2019-01-16
16-01-2019,4 - 2,Estland,Ceres Arena,Testkamp,Herrer,Futsallandsholdet,0,2019-01-16
16-01-2020,1 - 0,Cypern,Frenaros Community Stadium,Testkamp,Herrer,U16-landshold,31,2020-01-16
16-01-2020,3 - 2,Grækenland,GSZ Stadium,Testkamp,Herrer,U17-landshold,31,2020-01-16
16-02-1987,1 - 2,England,Maine Road,Testkamp,Herrer,U19-landshold,2000,1987-02-16
16-02-1993,1 - 0,England,NA,Testkamp,Herrer,U19-landshold,0,1993-02-16
16-02-1994,2 - 0,Guanzhou regionshold,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1994-02-16
16-02-1995,0 - 0,Portugal,Olhao Stadion,Testkamp,Herrer,U19-landshold,0,1995-02-16
16-02-1996,0 - 3,Frankrig,NA,Testkamp,Herrer,U17-landshold,0,1996-02-16
16-02-1996,1 - 2,Rumænien,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1996-02-16
16-02-2015,0 - 2,Østrig,AUL Complex,UEFA turnering,Herrer,U16-landshold,0,2015-02-16
16-02-2018,3 - 3,Skotland,St. George´s Park,UEFA turnering,Herrer,U16-landshold,60,2018-02-16
16-02-2018,4 - 0,Skotland,Queen Ethelburga’s College,UEFA turnering,Kvinder,U16-landshold,0,2018-02-16
16-02-2022,0 - 1,Italien,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,197,2022-02-16
16-02-2023,1 - 1,Frankrig,La Nucia 1,Testkamp,Kvinder,U19-landshold,33,2023-02-16
16-03-1989,1 - 2,Norge,NA,International turnering,Herrer,U19-landshold,300,1989-03-16
16-03-1994,5 - 1,Israel,NA,Testkamp,Herrer,U19-landshold,100,1994-03-16
16-03-1995,3 - 0,Finland,Estádio Dr. Fracisco Vieira,Algarve Cup,Kvinder,A-Landshold,0,1995-03-16
16-03-1997,0 - 0,Sverige,NA,Algarve Cup,Kvinder,A-Landshold,168,1997-03-16
16-03-1999,0 - 2,Kina,Estádio José Arcanjo,Algarve Cup,Kvinder,A-Landshold,100,1999-03-16
16-03-1999,1 - 3,Kroatien,NA,Testkamp,Herrer,U17-landshold,0,1999-03-16
16-03-2000,2 - 0,Portugal,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,100,2000-03-16
16-03-2003,0 - 0,Finland,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,0,2003-03-16
16-03-2004,0 - 1,USA,Estádio Municipal de Quarteria,Algarve Cup,Kvinder,A-Landshold,500,2004-03-16
16-03-2007,1 - 1,Island,La Manga,International turnering,Kvinder,U19-landshold,45,2007-03-16
16-03-2022,1 - 0,Grækenland,Helsingør Stadion,EM-kvalifikationskamp,Kvinder,U17-landshold,491,2022-03-16
16-03-2024,3 - 0,Nordmakedonien,Municipal Stadium Wrzesnia,EM-kvalifikationskamp,Kvinder,U17-landshold,0,2024-03-16
16-04-1990,0 - 0,Norge,NA,International turnering,Herrer,U17-landshold,300,1990-04-16
16-04-1990,1 - 4,Spanien,NA,International turnering,Herrer,U16-landshold,0,1990-04-16
16-04-1992,2 - 1,Nordirland,NA,International turnering,Herrer,U16-landshold,0,1992-04-16
16-04-2002,1 - 1,Tyskland,NA,Testkamp,Kvinder,U17-landshold,0,2002-04-16
16-04-2002,2 - 3,Grækenland,Odense Stadion,Testkamp,Herrer,U21-landshold,388,2002-04-16
16-04-2013,2 - 1,Tyskland,Aabenraa Stadion,Testkamp,Kvinder,U16-landshold,410,2013-04-16
16-04-2014,1 - 2,Østrig,Taastrup Idrætspark,Testkamp,Herrer,U18-landshold,1020,2014-04-16
16-04-2015,0 - 1,Østrig,NA,EM-kvalifikationskamp,Kvinder,U17-landshold,0,2015-04-16
16-04-2019,5 - 2,Tyskland,August Wenzel Stadion,Testkamp,Herrer,U19-landshold,219,2019-04-16
16-04-2023,2 - 4,England,St. George´s Park,Testkamp,Kvinder,U16-landshold,123,2023-04-16
16-05-1937,0 - 8,Tyskland,Herman Göring Stadion,Testkamp,Herrer,A-Landshold,40000,1937-05-16
16-05-1982,6 - 0,Italien,NA,Testkamp,Kvinder,A-Landshold,597,1982-05-16
16-05-1984,0 - 1,Tjekkoslovakiet,Stadion Evzena,Testkamp,Herrer,A-Landshold,7916,1984-05-16
16-05-1986,1 - 0,Polen,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,44300,1986-05-16
16-05-1989,3 - 0,Grækenland,Gladsaxe Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,723,1989-05-16
16-05-1992,2 - 2,Sverige,NA,Testkamp,Kvinder,U21-landshold,0,1992-05-16
16-05-1998,7 - 0,Portugal,NA,VM-kvalifikationskamp,Kvinder,A-Landshold,1200,1998-05-16
16-05-1999,0 - 0,Finland,NA,Internordisk turnering,Kvinder,U17-landshold,0,1999-05-16
16-05-2004,1 - 1,Finland,NA,Internordisk turnering,Kvinder,U17-landshold,0,2004-05-16
16-05-2005,3 - 1,Sverige,NA,Internordisk turnering,Kvinder,U17-landshold,250,2005-05-16
16-05-2018,10 - 4,Grønland,Kildeskovshallen,Uofficiel landskamp,Herrer,Futsallandsholdet,0,2018-05-16
16-05-2023,0 - 6,Frankrig,Stadium Ivanić-Grad,UEFA turnering,Kvinder,U16-landshold,35,2023-05-16
16-06-1918,1 - 3,Norge,Frogner Stadion,Testkamp,Herrer,A-Landshold,16000,1918-06-16
16-06-1929,2 - 3,Sverige,Slotskogsvallen,NM,Herrer,A-Landshold,24000,1929-06-16
16-06-1930,6 - 1,Finland,Pallokenttä,NM,Herrer,A-Landshold,6000,1930-06-16
16-06-1935,1 - 3,Sverige,Gamla Ullevi,NM,Herrer,A-Landshold,30000,1935-06-16
16-06-1946,1 - 2,Norge,Ullevaal,Testkamp,Herrer,A-Landshold,34000,1946-06-16
16-06-1946,2 - 4,Sverige,Idrottspark,Testkamp,Herrer,U21-landshold,13239,1946-06-16
16-06-1961,4 - 3,Sverige,Rønne Stadion Nord,Testkamp,Herrer,U19-landshold,3100,1961-06-16
16-06-1977,2 - 2,Sverige,NA,EM-kvalifikationskamp,Herrer,U21-landshold,1286,1977-06-16
16-06-1984,5 - 0,Jugoslavien,Stade Gerland,EM-slutrunde,Herrer,A-Landshold,34745,1984-06-16
16-06-1996,0 - 3,Kroatien,Hillsborough,EM-slutrunde,Herrer,A-Landshold,33671,1996-06-16
16-06-2000,0 - 3,Holland,De Kuip,EM-slutrunde,Herrer,A-Landshold,48200,2000-06-16
16-06-2018,1 - 0,Peru,Mordovia Arena,VM-slutrunde,Herrer,A-Landshold,40502,2018-06-16
16-06-2023,1 - 0,Nordirland,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,35701,2023-06-16
16-06-2023,2 - 1,Litauen,Jonava Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,327,2023-06-16
16-06-2024,1 - 1,Slovenien,Stuttgart Arena,EM-slutrunde,Herrer,A-Landshold,54000,2024-06-16
16-07-1966,0 - 2,Polen,NA,Internordisk turnering,Herrer,U19-landshold,0,1966-07-16
16-07-1979,1 - 1,Polen,NA,International turnering,Herrer,U19-landshold,0,1979-07-16
16-07-1980,6 - 1,Polen,NA,International turnering,Herrer,U19-landshold,0,1980-07-16
16-07-1981,0 - 0,Finland,Pallokenttä,NM,Kvinder,A-Landshold,550,1981-07-16
16-07-1981,0 - 2,Polen,Korsør Stadion,International turnering,Herrer,U19-landshold,0,1981-07-16
16-07-1982,1 - 0,Finland,MCH Arena,NM,Kvinder,A-Landshold,400,1982-07-16
16-07-1983,1 - 0,England,Holbæk Stadion,International turnering,Herrer,U19-landshold,600,1983-07-16
16-07-1985,1 - 0,Polen,NA,International turnering,Herrer,U19-landshold,100,1985-07-16
16-07-1987,2 - 2,Polen,Korsør Stadion,International turnering,Herrer,U19-landshold,500,1987-07-16
16-07-1988,0 - 3,Finland,NA,International turnering,Herrer,U19-landshold,500,1988-07-16
16-07-1995,1 - 1,Tyskland,Randers Stadion,Testkamp,Kvinder,U21-landshold,0,1995-07-16
16-07-2000,0 - 1,Tyskland,Nexø Stadion,Testkamp,Kvinder,U21-landshold,0,2000-07-16
16-07-2006,0 - 0,Sverige,Langenthal Stadion,EM-slutrunde,Kvinder,U19-landshold,600,2006-07-16
16-07-2006,0 - 3,USA,NA,Open Nordic Cup,Kvinder,U21-landshold,50,2006-07-16
16-07-2013,1 - 1,Finland,Gamla Ullevi,EM-slutrunde,Kvinder,A-Landshold,8360,2013-07-16
16-07-2017,1 - 0,Belgien,Stadion De Vijverberg,EM-slutrunde,Kvinder,A-Landshold,4565,2017-07-16
16-07-2022,0 - 1,Spanien,Brentford Community Stadium,EM-slutrunde,Kvinder,A-Landshold,16041,2022-07-16
16-07-2024,1 - 2,Spanien,Inver Park Larne,EM-slutrunde,Herrer,U19-landshold,468,2024-07-16
16-07-2024,2 - 0,Tjekkiet,Vejle Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,3303,2024-07-16
16-08-1972,3 - 0,Mexico,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,12300,1972-08-16
16-08-1978,0 - 2,Sverige,NA,NM,Herrer,U21-landshold,1350,1978-08-16
16-08-1978,2 - 1,Sverige,Københavns Idrætspark,NM,Herrer,A-Landshold,28100,1978-08-16
16-08-1989,1 - 2,Norge,Vejle Stadion,Testkamp,Kvinder,A-Landshold,1260,1989-08-16
16-08-1995,2 - 0,Armenien,Hrazdan Stadium,EM-kvalifikationskamp,Herrer,A-Landshold,20000,1995-08-16
16-08-1995,3 - 2,Armenien,NA,EM/OL-kvalifikation,Herrer,U21-landshold,550,1995-08-16
16-08-2000,0 - 2,Tyrkiet,NA,Testkamp,Herrer,U21-landshold,1200,2000-08-16
16-08-2000,2 - 0,Færøerne,Torsvøllur,NM,Herrer,A-Landshold,6478,2000-08-16
16-08-2005,0 - 1,England,MCH Arena,Testkamp,Herrer,U21-landshold,4012,2005-08-16
16-08-2006,2 - 0,Polen,Odense Stadion,Testkamp,Herrer,A-Landshold,11088,2006-08-16
16-08-2006,2 - 3,Schweiz,Sydbank Park,Testkamp,Herrer,U21-landshold,2177,2006-08-16
16-09-1928,1 - 2,Tyskland,Zabo,Testkamp,Herrer,A-Landshold,50000,1928-09-16
16-09-1951,0 - 2,Norge,Ullevaal,NM,Herrer,A-Landshold,35000,1951-09-16
16-09-1951,2 - 1,Norge,Odense Stadion,Testkamp,Herrer,U21-landshold,17000,1951-09-16
16-09-1956,3 - 0,Finland,Aalborg Stadion,Testkamp,Herrer,B-Landshold,15250,1956-09-16
16-09-1956,3 - 2,Finland,Køge Stadion,Testkamp,Herrer,U21-landshold,5605,1956-09-16
16-09-1956,4 - 0,Finland,Olympiastadion,NM,Herrer,A-Landshold,14914,1956-09-16
16-09-1962,0 - 0,Finland,Stadion Femhøje,Testkamp,Herrer,B-Landshold,5000,1962-09-16
16-09-1962,1 - 0,Finland,Sakskøbing Stadion,Testkamp,Herrer,U21-landshold,3500,1962-09-16
16-09-1962,1 - 2,Finland,NA,Testkamp,Herrer,U19-landshold,1200,1962-09-16
16-09-1962,6 - 1,Finland,Olympiastadion,NM,Herrer,A-Landshold,10000,1962-09-16
16-09-1992,2 - 3,Norge,NA,Testkamp,Herrer,U19-landshold,500,1992-09-16
16-09-1997,1 - 1,Tyskland,Tarm Stadion,Testkamp,Herrer,U19-landshold,200,1997-09-16
16-09-1998,0 - 1,Sverige,NA,Testkamp,Kvinder,U21-landshold,0,1998-09-16
16-09-2007,0 - 2,Irland,Lissywoollen,EM-kvalifikationskamp,Herrer,U17-landshold,1500,2007-09-16
16-09-2010,1 - 1,Spanien,Asim Ferhatović Hase Stadion,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2010-09-16
16-09-2010,2 - 2,Sverige,Vejle Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,3065,2010-09-16
16-09-2016,1 - 1,Schweiz,NA,Testkamp,Kvinder,U19-landshold,0,2016-09-16
16-09-2021,2 - 0,Portugal,Cidade do Futebol,Testkamp,Kvinder,U19-landshold,0,2021-09-16
16-09-2021,7 - 0,Malta,Viborg Stadion,VM-kvalifikationskamp,Kvinder,A-Landshold,4353,2021-09-16
16-09-2022,2 - 5,Norge,Sanderhallen,Nordic Futsal Cup,Herrer,Futsallandsholdet,0,2022-09-16
16-10-1955,1 - 2,Sverige,Köping Idrottsplats,Testkamp,Herrer,U21-landshold,4100,1955-10-16
16-10-1955,3 - 3,Sverige,Københavns Idrætspark,NM,Herrer,A-Landshold,50000,1955-10-16
16-10-1955,3 - 6,Sverige,Jernvallen,Testkamp,Herrer,B-Landshold,5124,1955-10-16
16-10-1965,0 - 2,Holland,NA,Testkamp,Herrer,U21-landshold,5000,1965-10-16
16-10-1968,0 - 1,Skotland,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,11900,1968-10-16
16-10-1984,1 - 3,Schweiz,NA,EM-kvalifikationskamp,Herrer,U19-landshold,1000,1984-10-16
16-10-1985,3 - 1,Norge,Bislett Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,1600,1985-10-16
16-10-1985,5 - 1,Norge,Ullevaal,VM-kvalifikationskamp,Herrer,A-Landshold,20000,1985-10-16
16-10-1991,4 - 1,Frankrig,Aalborg Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,300,1991-10-16
16-10-2003,5 - 1,Malta,NA,EM-kvalifikationskamp,Herrer,U19-landshold,200,2003-10-16
16-10-2007,24 - 0,Armenien,Turnovo Stadion,EM-kvalifikationskamp,Kvinder,U17-landshold,46,2007-10-16
16-10-2007,3 - 1,Slovenien,Sportni Park Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,728,2007-10-16
16-10-2008,1 - 1,Tyrkiet,Fredericia Stadion,Testkamp,Herrer,U19-landshold,275,2008-10-16
16-10-2008,1 - 3,Polen,NA,Testkamp,Herrer,U16-landshold,1500,2008-10-16
16-10-2008,6 - 0,Kasakhstan,Complex Op De Keiberg,EM-kvalifikationskamp,Kvinder,U17-landshold,55,2008-10-16
16-10-2010,2 - 1,Irland,Domenico Francioni,International turnering,Herrer,U16-landshold,275,2010-10-16
16-10-2012,1 - 1,Ukraine,Nykøbing F. Idrætspark,Testkamp,Herrer,U18-landshold,1127,2012-10-16
16-10-2012,1 - 2,Serbien,RSRC Stadium,International turnering,Herrer,U19-landshold,160,2012-10-16
16-10-2012,1 - 3,Italien,Stadio Giuseppe Meazza,VM-kvalifikationskamp,Herrer,A-Landshold,37027,2012-10-16
16-10-2012,1 - 3,Spanien,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,5282,2012-10-16
16-10-2012,2 - 0,Georgien,Mikheil Meskhi,Testkamp,Herrer,U20-landshold,500,2012-10-16
16-10-2014,10 - 0,Nordmakedonien,FFM Training Center,EM-kvalifikationskamp,Kvinder,U17-landshold,200,2014-10-16
16-10-2018,0 - 1,Italien,Kadriorg Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,56,2018-10-16
16-10-2018,2 - 0,Østrig,MCH Arena,Testkamp,Herrer,A-Landshold,7386,2018-10-16
16-10-2018,3 - 0,Færøerne,Aalborg Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,3037,2018-10-16
16-10-2022,2 - 3,Belgien,Cidade do Futebol,International turnering,Herrer,U16-landshold,83,2022-10-16
16-11-1941,1 - 1,Tyskland,Dresdner Sportsklub Stadion,Testkamp,Herrer,A-Landshold,45000,1941-11-16
16-11-1983,2 - 0,Grækenland,OAKA - Spiros Louis,EM-kvalifikationskamp,Herrer,A-Landshold,32000,1983-11-16
16-11-1988,2 - 4,Spanien,NA,EM-kvalifikationskamp,Herrer,U19-landshold,8000,1988-11-16
16-11-1993,0 - 1,Spanien,NA,EM-kvalifikationskamp,Herrer,U21-landshold,12500,1993-11-16
16-11-1994,0 - 3,Spanien,Estadio Ramon Sánchez Pizjuán,EM-kvalifikationskamp,Herrer,A-Landshold,26428,1994-11-16
16-11-2002,4 - 2,Frankrig,Nakskov Idrætspark,Testkamp,Kvinder,U19-landshold,150,2002-11-16
16-11-2003,3 - 2,England,Old Trafford,Testkamp,Herrer,A-Landshold,64159,2003-11-16
16-11-2004,4 - 2,Georgien,Boris Paichadze National Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,2500,2004-11-16
16-11-2005,3 - 1,Rusland,Brøndby Stadion,EM-kvalifikationskamp,Herrer,U21-landshold,11216,2005-11-16
16-11-2007,3 - 0,Litauen,FK Vetra Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,159,2007-11-16
16-11-2018,1 - 2,Ukraine,Estadio Municipal Luis Rodriguez Salvador,Testkamp,Herrer,U18-landshold,143,2018-11-16
16-11-2018,2 - 1,Wales,Cardiff City Stadium,UEFA Nations League,Herrer,A-Landshold,32500,2018-11-16
16-11-2018,2 - 3,Schweiz,Estadio Ciudad de Lepe,Testkamp,Herrer,U19-landshold,54,2018-11-16
16-11-2019,2 - 0,Færøerne,Køge Stadion,EM-kvalifikationskamp,Herrer,U19-landshold,512,2019-11-16
16-11-2021,1 - 0,Portugal,Capital do Móvel Municipal Stadium,Testkamp,Herrer,U19-landshold,234,2021-11-16
16-11-2021,2 - 1,Tyrkiet,Oba Stadium,EM-kvalifikationskamp,Herrer,U21-landshold,225,2021-11-16
16-11-2021,4 - 3,Estland,NA,Testkamp,Herrer,Futsallandsholdet,0,2021-11-16
16-11-2023,1 - 1,Sverige,JYSK Park,Testkamp,Herrer,U20-landshold,355,2023-11-16
16-11-2023,3 - 0,Marokko,Pinatar Arena,Testkamp,Herrer,U21-landshold,276,2023-11-16
16-12-2012,1 - 2,Brasilien,Estádio Municipal Paulo Machado de Carvalho (Pacaembu),Int. tour. City of São Paulo,Kvinder,A-Landshold,2813,2012-12-16
16-12-2021,2 - 2,Sverige,NA,Nordic Futsal Cup,Herrer,Futsallandsholdet,857,2021-12-16
16-12-2023,6 - 2,Litauen,Park Vendia,Nordic Futsal Cup,Herrer,Futsallandsholdet,457,2023-12-16
17-01-1988,2 - 0,Thailands B-landshold,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1988-01-17
17-01-1997,1 - 2,Mexico,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1997-01-17
17-01-2006,2 - 0,Cypern,NA,Testkamp,Herrer,U19-landshold,100,2006-01-17
17-01-2009,0 - 1,Panama,Estadio Proyecto Gol,Uofficiel landskamp,Herrer,U21-landshold,886,2009-01-17
17-01-2010,1 - 0,Mexico,Harder Stadium,Testkamp,Herrer,U21-landshold,1142,2010-01-17
17-01-2010,3 - 1,Polen,His Majesty The Kings 80th Birthday Anniversary Stadium,Uofficiel landskamp,Herrer,Ligalandshold,0,2010-01-17
17-01-2012,1 - 2,Tjekkiet,Kula Stadium,Aegean Cup,Herrer,U16-landshold,365,2012-01-17
17-01-2015,9 - 1,Gibraltar,Skaptopara Hall,EM-kvalifikationskamp,Herrer,Futsallandsholdet,95,2015-01-17
17-01-2019,1 - 1,Cypern,Anagennisi Dherynia Stadium,Testkamp,Herrer,U19-landshold,56,2019-01-17
17-01-2019,2 - 1,Grækenland,Ormideia Soccer field,Testkamp,Herrer,U17-landshold,23,2019-01-17
17-01-2019,3 - 1,Cypern,GSZ Stadium,Testkamp,Herrer,U16-landshold,134,2019-01-17
17-02-1997,0 - 3,Cypern,NA,Testkamp,Herrer,U17-landshold,50,1997-02-17
17-02-2000,3 - 0,Irland,NA,Testkamp,Herrer,U17-landshold,500,2000-02-17
17-02-2003,3 - 3,Norge,La Manga,Testkamp,Kvinder,A-Landshold,150,2003-02-17
17-02-2004,0 - 2,Tyrkiet,Tevfýk Sirri Gür Stadi,Testkamp,Herrer,U20-landshold,10000,2004-02-17
17-02-2005,0 - 3,Portugal,Estádio de Machico,International turnering,Herrer,U20-landshold,350,2005-02-17
17-02-2024,5 - 1,Irland,Pinatar Arena,Testkamp,Herrer,U17-landshold,53,2024-02-17
17-03-1977,1 - 2,Sverige,Karlslund Stadion,Testkamp,Herrer,U19-landshold,250,1977-03-17
17-03-1994,1 - 0,Finland,Estádio José Arcanjo,Algarve Cup,Kvinder,A-Landshold,0,1994-03-17
17-03-1995,2 - 0,USA,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,0,1995-03-17
17-03-1996,1 - 2,Kina,NA,Algarve Cup,Kvinder,A-Landshold,0,1996-03-17
17-03-1998,6 - 0,Holland,Estádio Dr. Fracisco Vieira,Algarve Cup,Kvinder,A-Landshold,150,1998-03-17
17-03-1999,0 - 1,Kroatien,NA,Testkamp,Herrer,U17-landshold,0,1999-03-17
17-03-2001,0 - 3,Sverige,Estádio Municipal,Algarve Cup,Kvinder,A-Landshold,0,2001-03-17
17-03-2003,0 - 1,Norge,NA,EM-kvalifikationskamp,Herrer,U17-landshold,200,2003-03-17
17-03-2004,0 - 0,Slovakiet,National Training Centre,Testkamp,Herrer,U18-landshold,0,2004-03-17
17-03-2004,5 - 2,Sverige,La Manga,International turnering,Kvinder,U19-landshold,0,2004-03-17
17-03-2006,3 - 1,Frankrig,NA,International turnering,Kvinder,U19-landshold,50,2006-03-17
17-03-2016,2 - 2,Ungarn,Global Football Park,Testkamp,Herrer,U18-landshold,79,2016-03-17
17-04-1922,0 - 2,Holland,Oude Stadion,Testkamp,Herrer,A-Landshold,30000,1922-04-17
17-04-1985,4 - 0,Irland,Glenmalure Park,Testkamp,Kvinder,A-Landshold,1500,1985-04-17
17-04-1987,0 - 1,DDR,NA,International turnering,Herrer,U17-landshold,0,1987-04-17
17-04-1990,2 - 1,Tunesien,NA,International turnering,Herrer,U17-landshold,0,1990-04-17
17-04-1991,7 - 0,San Marino,Aalborg Stadion,EM/OL-kvalifikation,Herrer,U21-landshold,1800,1991-04-17
17-04-2002,3 - 1,Israel,Parken,Testkamp,Herrer,A-Landshold,9598,2002-04-17
17-04-2003,0 - 1,Irland,NA,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2003-04-17
17-04-2014,2 - 3,Schweiz,Bogense Stadion,Testkamp,Herrer,U17-landshold,652,2014-04-17
17-04-2017,1 - 2,Japan,NA,International turnering,Herrer,U16-landshold,534,2017-04-17
17-04-2017,1 - 3,Tyskland,Stadion Lohmühle,Testkamp,Herrer,U19-landshold,2074,2017-04-17
17-04-2019,3 - 1,Mexico,Estádio Prof. Dr J.Viera de Carvalho – Maia,International turnering,Herrer,U18-landshold,34,2019-04-17
17-04-2022,0 - 2,Schweiz,The Airfield,Testkamp,Kvinder,U16-landshold,65,2022-04-17
17-05-1914,4 - 3,Holland,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,13000,1914-05-17
17-05-1989,7 - 1,Grækenland,Københavns Idrætspark,VM-kvalifikationskamp,Herrer,A-Landshold,38500,1989-05-17
17-05-1990,3 - 0,Tyrkiet,NA,EM-slutrunde,Herrer,U17-landshold,500,1990-05-17
17-05-1992,5 - 0,Finland,Hjørring Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,905,1992-05-17
17-05-1995,3 - 4,Slovakiet,NA,EM-kvalifikationskamp,Herrer,U19-landshold,1800,1995-05-17
17-05-1998,0 - 1,Holland,Nexø Stadion,EM-slutrunde,Kvinder,U19-landshold,0,1998-05-17
17-05-2002,2 - 1,Cameroun,Parken,Testkamp,Herrer,A-Landshold,34571,2002-05-17
17-05-2006,2 - 0,Spanien,Brøndby Stadion,Testkamp,Herrer,U21-landshold,4565,2006-05-17
17-05-2009,0 - 4,Sverige,Hedensted Stadion,International turnering,Kvinder,U16-landshold,311,2009-05-17
17-05-2010,1 - 2,Sverige,Strandängens IP,Testkamp,Kvinder,U16-landshold,257,2010-05-17
17-05-2011,1 - 3,Slovakiet,Slagelse Stadion,Testkamp,Herrer,U16-landshold,415,2011-05-17
17-05-2017,4 - 0,Nordirland,Belleek Park,UEFA turnering,Kvinder,U16-landshold,0,2017-05-17
17-05-2018,4 - 4,Grønland,Kildeskovshallen,Uofficiel landskamp,Herrer,Futsallandsholdet,0,2018-05-17
17-05-2022,1 - 2,Sverige,Ramat Gan Stadion,EM-slutrunde,Herrer,U17-landshold,119,2022-05-17
17-06-1917,2 - 1,Norge,Frogner Stadion,Testkamp,Herrer,A-Landshold,12000,1917-06-17
17-06-1923,3 - 2,Schweiz,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,25000,1923-06-17
17-06-1928,3 - 2,Norge,Ullevaal,NM,Herrer,A-Landshold,18000,1928-06-17
17-06-1934,3 - 5,Sverige,Københavns Idrætspark,NM,Herrer,A-Landshold,30000,1934-06-17
17-06-1951,3 - 3,Østrig,Københavns Idrætspark,Testkamp,Herrer,A-Landshold,23300,1951-06-17
17-06-1964,0 - 3,Sovjetunionen,Nou Camp,EM-slutrunde,Herrer,A-Landshold,38556,1964-06-17
17-06-1988,0 - 2,Italien,Müngersdorfer Stadion,EM-slutrunde,Herrer,A-Landshold,60500,1988-06-17
17-06-1992,2 - 1,Frankrig,Malmö Stadion,EM-slutrunde,Herrer,A-Landshold,25763,1992-06-17
17-06-2012,1 - 2,Tyskland,Arena Lviv,EM-slutrunde,Herrer,A-Landshold,32990,2012-06-17
17-06-2015,2 - 1,Tjekkiet,Eden Stadion,EM-slutrunde,Herrer,U21-landshold,15987,2015-06-17
